Bowling,Sailing / Boating,Snowboarding / Skiing,Horse / Derby,Boxing,Fishing,Golf,Basketball,Pool / Snooker,Football (European) / Soccer,Ping Pong / Table Tennis,Olympiad / Mixed Sports,Dodgeball,Volleyball,Baseball,Rugby,Wrestling,Football (American),Racquetball / Squash,Darts / Target Shooting,Tennis,Hockey,Surfing,Skateboarding,Athletics,Wakeboarding,Paintball,platform,country,Cricket
,,,,,,,,,,,,,,,,,,,,,,,,,,,SG-1000,Germany,
,,,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,SG-1000,Japan,
,,,,,,1.0,,,5.0,,1.0,,,,,,,,,1.0,1.0,,,,,,SNES,Germany,
1.0,,3.0,1.0,7.0,6.0,11.0,11.0,2.0,22.0,,2.0,1.0,2.0,16.0,,13.0,12.0,,,7.0,2.0,1.0,1.0,,,,SNES,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp MZ-80B/2000/2500,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp MZ-80B/2000/2500,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp MZ-80K/700/800/1500,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp MZ-80K/700/800/1500,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp X1,Germany,
,,1.0,,,,3.0,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,Sharp X1,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp X68000,Germany,
,,,1.0,,,3.0,,,2.0,,,1.0,1.0,2.0,,3.0,,,,1.0,,,,,,,Sharp X68000,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp Zaurus,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp Zaurus,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinclair QL,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinclair QL,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sord M5,Germany,
,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,Sord M5,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Spectravideo,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Spectravideo,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SuperGrafx,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SuperGrafx,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Symbian,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Symbian,Japan,
,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,Tele-Spiel ES-2201,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tele-Spiel ES-2201,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomy Tutor,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomy Tutor,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,TurboGrafx CD,Germany,
,,,,1.0,1.0,5.0,,,5.0,,,,,5.0,,3.0,,,,2.0,,,,,,,TurboGrafx CD,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,TurboGrafx-16,Germany,
,,,,2.0,,4.0,2.0,1.0,3.0,,1.0,1.0,2.0,3.0,,5.0,1.0,,,3.0,2.0,,,,,,TurboGrafx-16,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,V.Smile,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,V.Smile,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,VIC-20,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,VIC-20,Japan,
,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,Vectrex,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vectrex,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Virtual Boy,Germany,
1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,Virtual Boy,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wang 2200,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wang 2200,Japan,
2.0,1.0,10.0,,2.0,1.0,5.0,5.0,2.0,11.0,2.0,10.0,,2.0,6.0,1.0,4.0,3.0,1.0,,5.0,2.0,2.0,3.0,,,,Wii,Germany,2.0
4.0,2.0,6.0,2.0,4.0,2.0,7.0,4.0,2.0,13.0,5.0,3.0,3.0,4.0,9.0,,6.0,1.0,,,6.0,6.0,,2.0,,1.0,,Wii,Japan,
,2.0,2.0,2.0,3.0,1.0,,1.0,,3.0,,2.0,,2.0,,1.0,1.0,,,,1.0,2.0,,,1.0,,,Wii U,Germany,
1.0,,1.0,1.0,4.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,3.0,3.0,,1.0,1.0,,,Wii U,Japan,
5.0,9.0,47.0,23.0,7.0,8.0,32.0,20.0,19.0,161.0,4.0,18.0,,3.0,5.0,,2.0,15.0,,3.0,26.0,26.0,4.0,10.0,1.0,1.0,2.0,Windows,Germany,1.0
,,,,2.0,1.0,3.0,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,Windows,Japan,
,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,Windows 3.x,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 3.x,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Mobile,Germany,
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Windows Mobile,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Phone,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Phone,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WonderSwan,Germany,
,,,1.0,,2.0,1.0,,1.0,1.0,,,,,2.0,,2.0,,,,,,,,,,,WonderSwan,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WonderSwan Color,Germany,
,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,WonderSwan Color,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,XaviXPORT,Germany,
1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,XaviXPORT,Japan,
1.0,1.0,4.0,,1.0,,4.0,7.0,1.0,16.0,,,,1.0,,1.0,5.0,7.0,,,4.0,6.0,2.0,7.0,,,1.0,Xbox,Germany,
1.0,,5.0,,2.0,1.0,2.0,4.0,,1.0,,1.0,,3.0,2.0,,3.0,1.0,,,1.0,,,1.0,,1.0,,Xbox,Japan,
,,3.0,,2.0,,4.0,4.0,1.0,15.0,,4.0,,,1.0,,3.0,1.0,,,5.0,2.0,,4.0,,,1.0,Xbox 360,Germany,
,1.0,1.0,,1.0,,,1.0,,1.0,,,,2.0,1.0,,,,,,1.0,1.0,,,,,1.0,Xbox 360,Japan,
,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,Xbox One,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Xbox One,Japan,
1.0,,1.0,,2.0,,,,,14.0,,3.0,,,,1.0,2.0,,,,1.0,1.0,,5.0,,,,ZX Spectrum,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ZX Spectrum,Japan,
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,iPad,Germany,
