Adventure,Action,Racing / Driving,Sports,Puzzle,Strategy/Tactics,Educational,Simulation,Role-Playing (RPG),Compilation,Special Edition,DLC / Add-on,platform,country
2.0,147.0,16.0,31.0,14.0,11.0,,4.0,17.0,,,,TurboGrafx-16,Japan
,1.0,,,,,3.0,,,,,,V.Smile,Germany
,,,,,,,,,,,,V.Smile,Japan
,4.0,1.0,,,,,,,,,,VIC-20,Germany
,3.0,1.0,,,,,,,,,,VIC-20,Japan
,15.0,,2.0,,,,1.0,,,,,Vectrex,Germany
,,,,,,,,,,,,Vectrex,Japan
,,,,,,,,,,,,Virtual Boy,Germany
,11.0,,7.0,3.0,1.0,,1.0,,,,,Virtual Boy,Japan
,1.0,,,,,,,,,,,Wang 2200,Germany
,,,,,,,,,,,,Wang 2200,Japan
20.0,222.0,29.0,60.0,26.0,15.0,11.0,31.0,14.0,6.0,2.0,2.0,Wii,Germany
33.0,502.0,27.0,66.0,53.0,55.0,4.0,27.0,94.0,9.0,5.0,,Wii,Japan
8.0,79.0,5.0,10.0,9.0,7.0,1.0,3.0,10.0,4.0,19.0,4.0,Wii U,Germany
28.0,240.0,11.0,27.0,25.0,36.0,,7.0,85.0,7.0,3.0,9.0,Wii U,Japan
825.0,2052.0,580.0,518.0,350.0,1568.0,115.0,1142.0,526.0,1075.0,273.0,620.0,Windows,Germany
180.0,357.0,25.0,18.0,22.0,139.0,17.0,113.0,156.0,50.0,15.0,26.0,Windows,Japan
67.0,32.0,4.0,5.0,13.0,62.0,17.0,45.0,4.0,54.0,1.0,21.0,Windows 3.x,Germany
16.0,7.0,,,5.0,5.0,6.0,2.0,7.0,,,,Windows 3.x,Japan
,,,,,,,,,,,,Windows Mobile,Germany
,,,1.0,,,,,,,,,Windows Mobile,Japan
,,1.0,,1.0,2.0,,1.0,,,,,Windows Phone,Germany
,,,,1.0,,,,,,,,Windows Phone,Japan
,,,,,,,,,,,,WonderSwan,Germany
6.0,16.0,3.0,10.0,14.0,8.0,3.0,10.0,8.0,,,,WonderSwan,Japan
,,,,,,,,,,,,WonderSwan Color,Germany
4.0,10.0,,2.0,4.0,5.0,,1.0,21.0,,,,WonderSwan Color,Japan
,,,,,,,,,,,,XaviXPORT,Germany
,,,3.0,,,2.0,,,,,,XaviXPORT,Japan
4.0,187.0,52.0,71.0,,8.0,1.0,17.0,16.0,9.0,2.0,,Xbox,Germany
5.0,144.0,24.0,26.0,4.0,13.0,,14.0,12.0,8.0,1.0,1.0,Xbox,Japan
8.0,342.0,63.0,53.0,24.0,25.0,2.0,21.0,34.0,36.0,36.0,17.0,Xbox 360,Germany
15.0,248.0,25.0,12.0,24.0,18.0,1.0,13.0,28.0,15.0,10.0,33.0,Xbox 360,Japan
2.0,23.0,3.0,4.0,1.0,1.0,,2.0,4.0,8.0,14.0,12.0,Xbox One,Germany
10.0,19.0,1.0,1.0,1.0,1.0,,2.0,4.0,10.0,4.0,10.0,Xbox One,Japan
10.0,216.0,19.0,34.0,12.0,12.0,,16.0,5.0,17.0,,,ZX Spectrum,Germany
,,,,,,,,,,,,ZX Spectrum,Japan
,4.0,,1.0,1.0,2.0,1.0,,2.0,,,,iPad,Germany
21.0,16.0,3.0,2.0,5.0,9.0,1.0,13.0,29.0,,,,iPad,Japan
,5.0,,1.0,1.0,3.0,1.0,2.0,2.0,,,,iPhone,Germany
25.0,21.0,3.0,2.0,6.0,10.0,1.0,21.0,36.0,,,,iPhone,Japan
