Shooter,Arcade,Japanese-style RPG (JRPG),Roguelike,Managerial / Business Simulation,Tricks / Stunts,Platform,Falling Block Puzzle,Tile Matching Puzzle,Paddle / Pong,Vehicle Simulator,Music / Rhythm,Puzzle elements,Metroidvania,Life / Social Simulation,Fighting,Martial Arts,Survival Horror,Pinball,Mental training,Tactical RPG,Casino / Gambling,Cards / Tiles,Board Game,Chess,RPG elements,Stealth,Mini-Games,Party Game,Beat 'em up / Brawler,Hack and Slash,Action RPG,Visual Novel,Trading / Collectible Card,Japanese-style Adventure,Interactive Fiction / Text Adventure,Wargame,Massively Multiplayer,Dating Simulation,City Building / Construction Simulation,Vehicular Combat Simulator,Quick Time Events (QTEs),4X,Tactical Shooter,Graphic Adventure,Sandbox / Open World,Rail Shooter,Artillery,Game Show / Trivia / Quiz,Word Construction,Timed Input,Hidden object,Interactive Book,Hunting,Tower Defense,Time Management,platform,country
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-Gage,Japan
7.0,9.0,,,,1.0,19.0,1.0,1.0,,,,3.0,2.0,,1.0,2.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NES,Germany
173.0,226.0,8.0,,5.0,3.0,235.0,14.0,8.0,6.0,2.0,2.0,45.0,20.0,,42.0,23.0,,5.0,,1.0,6.0,14.0,22.0,,7.0,3.0,2.0,,23.0,,14.0,4.0,,1.0,3.0,1.0,,,,,,,,2.0,,2.0,,2.0,1.0,,,,1.0,,,NES,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo,Germany
19.0,41.0,,,,,10.0,1.0,2.0,,,,,,,48.0,18.0,,,,,,,,1.0,1.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo CD,Germany
9.0,18.0,,,,,2.0,1.0,1.0,,,,,,,19.0,5.0,,,,,,2.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo CD,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket,Germany
,1.0,,,,,,1.0,,,,,,,,2.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket,Japan
2.0,5.0,,,,,2.0,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket Color,Germany
3.0,11.0,,,,,3.0,2.0,2.0,,,,1.0,,,5.0,3.0,,,,,1.0,2.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket Color,Japan
2.0,2.0,1.0,,,,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,New Nintendo 3DS,Germany
4.0,6.0,,,,,8.0,1.0,1.0,,1.0,,2.0,1.0,,3.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,New Nintendo 3DS,Japan
