Sci-Fi / Futuristic,Fantasy,Europe,Contemporary,Medieval,Japan (Ancient/Classical/Medieval),North America,China (Ancient/Imperial),Historical Events,Cyberpunk / Dark Sci-Fi,Interwar,Asia,Post-Apocalyptic,World War II,Sea Pirates/Caribbean,Cold War,Industrial Age,World War I,Prehistoric,Classical antiquity,Middle East,Africa,Western,Egypt (Ancient),Steampunk,South America,Pre-Columbian Americas,Oceania,platform,country
44.0,65.0,1.0,1.0,,4.0,,3.0,9.0,2.0,,1.0,4.0,1.0,,,,,,,,,,,,,,,Sharp X1,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp X68000,Germany
89.0,90.0,3.0,4.0,1.0,5.0,,4.0,18.0,2.0,4.0,1.0,7.0,4.0,,,,,,1.0,1.0,1.0,,,,,,,Sharp X68000,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp Zaurus,Germany
3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp Zaurus,Japan
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinclair QL,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinclair QL,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sord M5,Germany
2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Sord M5,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spectravideo,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spectravideo,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuperGrafx,Germany
5.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,SuperGrafx,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Symbian,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Symbian,Japan
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tele-Spiel ES-2201,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tele-Spiel ES-2201,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomy Tutor,Germany
,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,Tomy Tutor,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurboGrafx CD,Germany
92.0,104.0,,1.0,,3.0,,4.0,11.0,4.0,1.0,1.0,6.0,,,,,,,,1.0,,,,,,,,TurboGrafx CD,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurboGrafx-16,Germany
54.0,36.0,,1.0,,,,,2.0,1.0,1.0,,4.0,1.0,,,,,1.0,,,,,,,,,,TurboGrafx-16,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,V.Smile,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,V.Smile,Japan
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIC-20,Germany
1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,VIC-20,Japan
9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Vectrex,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vectrex,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virtual Boy,Germany
5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Virtual Boy,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wang 2200,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wang 2200,Japan
40.0,51.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,,2.0,1.0,1.0,3.0,4.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,Wii,Germany
141.0,146.0,2.0,7.0,1.0,10.0,,1.0,6.0,6.0,,1.0,12.0,1.0,2.0,,,2.0,,2.0,1.0,,,,,,,,Wii,Japan
13.0,21.0,3.0,4.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,Wii U,Germany
78.0,100.0,,,,2.0,,,2.0,3.0,,1.0,5.0,,,,,1.0,1.0,,,,,,,1.0,,,Wii U,Japan
